SubjectID;VideoID;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;user-definedlabeln
1;11;2430574,112;1432,813676;18,48902703;44,25844149;12,37062859;44,06747429;166,9731543;1,074092861;0
1;11;2398063,309;274,2817413;62,46306636;6,911173501;25,59289896;51,90241558;134,083425;0,690344606;0
1;11;2403018,661;373,0780074;31,75696418;9,882223912;3,776868822;22,96169649;160,6930896;1,244924612;0
1;11;2455965,251;1617,093277;23,48953229;13,69217012;27,20531447;17,02215992;162,5661333;1,695848134;0
1;11;2510600,352;1931,743207;54,44099069;26,7428152;18,20957439;17,02537192;80,72103976;1,477544297;0
1;11;2519634,453;1150,112546;22,29253429;44,10095168;10,06651985;16,94517625;93,23602593;1,030193494;0
1;11;2528869,535;528,4236692;6,455239202;14,48164463;19,51902086;5,886684092;72,86923056;1,241787107;0
1;11;2555751,254;881,1557256;56,66210701;15,35203985;23,27485737;18,24102826;96,16688467;2,084308617;0
1;11;2535841,051;805,9114097;5,555784231;8,490757664;24,74502471;17,4295149;127,9434966;1,234461875;0
1;11;2634502,519;1932,13896;22,10649995;15,05936577;22,37523268;16,29835851;163,525381;1,353000116;0
1;11;2551483,534;703,3616385;33,54177656;108,18711;89,1731825;29,97513667;121,6951903;0,766544315;0
1;11;2592552,447;693,8660685;16,51998976;6,68857564;26,95791689;9,596768171;110,4167317;1,358494831;0
1;11;2934757,264;621,0884263;28,52937318;4,406049168;11,07442076;260,8571325;1051,512451;1,263362131;0
1;11;2874071,459;2089,727725;23,58083706;18,82606946;31,85173419;86,70057947;877,6875574;1,608001719;0
1;11;2647291,51;871,3869464;16,10218409;35,28404104;20,51603803;20,66102974;215,8152414;2,157694165;0
1;11;2487361,11;417,3968401;27,70284651;3,450291732;15,33410156;21,73392473;119,0179734;0,978811799;0
1;11;2407358,196;1292,697223;35,75633832;15,71446784;5,215061204;26,91179348;158,2051212;1,520888986;0
1;11;2344065,31;623,5557082;37,56215065;37,84762209;5,07064017;28,25914641;212,6368289;1,565168217;0
1;11;2397073,255;2210,690124;9,806383432;13,12604656;7,6054895;57,2267814;208,6531364;1,379487481;0
